frequency_mhz,block_started_at,configuration,dwell_us,round,control,phase_and_closure_pass,first_phase_pass_ms,maximum_observable_phase_bias_deg,maximum_observable_gain_error_db,error,analysis_json
5811.0,2026-09-08T22:31:36.472675+00:00,A,200,2,True,False,50.85300581067193,17.717219825804076,0.8675728067059351,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r2-A-200us-control-20260908T223833.018806Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,A,1000,2,True,True,25.123366066059294,3.2057056844523886,0.7264916674221473,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r2-A-1000us-control-20260908T223847.532210Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,A,200,3,True,False,,115.64324283038535,15.299473358872644,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r3-A-200us-control-20260908T223902.112295Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,200,3,False,True,50.84325398951095,4.257962233284316,0.719207005626683,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r3-B-200us-20260908T223911.469265Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,1000,3,False,True,25.12534339706479,4.014474726875675,0.769662754086401,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r3-B-1000us-20260908T223927.975119Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,50,3,False,False,50.25697526166172,10.084731954573256,1.0032263275470108,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r3-B-50us-20260908T223943.977924Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,A,1000,3,True,True,25.12709905737168,7.302733948091662,0.6024309896249992,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r3-A-1000us-control-20260908T223959.808791Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,25,3,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r3-B-25us-20260908T224014.310355Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,100,3,False,True,50.25181872199965,2.815182869929673,0.9595014810511481,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r3-B-100us-20260908T224030.479066Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,A,1000,1,True,True,25.130157904673638,1.2948135833546024,0.7286775629728044,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r1-A-1000us-control-20260908T224855.607205Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,100,1,False,False,50.25434656266022,24.900297388713227,1.8678239924346198,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r1-D-100us-20260908T224909.947675Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,50,1,False,False,,56.04301859792234,2.2330272092526497,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r1-D-50us-20260908T224925.445268Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,1000,1,False,False,25.12131582975413,3.5012661338426394,1.5270012915813178,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r1-D-1000us-20260908T224940.944358Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,A,200,1,True,False,50.844185038319395,4.015331047214515,1.4112030498678543,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r1-A-200us-control-20260908T224956.127272Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,200,1,False,False,50.84633886525335,15.808571893746738,1.0169632749569264,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r1-D-200us-20260908T225005.047960Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,25,1,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r1-D-25us-20260908T225020.292978Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,50,2,False,False,100.50422155308728,14.244002564841079,2.4360531692354632,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r2-D-50us-20260908T225035.606970Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,1000,2,False,True,25.121976811524796,4.269132370380923,0.9992234618487756,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r2-D-1000us-20260908T225050.950850Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,25,2,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r2-D-25us-20260908T225106.322576Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,100,2,False,False,,54.2107198326655,2.3771111991560345,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r2-D-100us-20260908T225121.797650Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,200,2,False,False,50.846870037379745,6.916462412512191,1.493177398762131,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r2-D-200us-20260908T225137.738590Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,A,200,2,True,False,50.84358765590457,3.919658370125803,1.1437728539519028,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r2-A-200us-control-20260908T225147.525776Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,A,1000,2,True,True,25.12448403660398,5.361853199150326,0.46203928122724064,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r2-A-1000us-control-20260908T225202.071637Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,A,200,3,True,False,,94.27093212590688,12.385725276848056,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r3-A-200us-control-20260908T225217.377152Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,200,3,False,False,50.85853201912013,3.33891450553775,1.3681628451348353,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r3-D-200us-20260908T225226.655619Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,1000,3,False,True,25.12783931062818,3.6139080428268917,0.37801197056222124,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r3-D-1000us-20260908T225242.582056Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,50,3,False,False,,56.005789493357085,2.5202315606553793,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r3-D-50us-20260908T225258.394594Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,A,1000,3,True,True,25.128691263697565,6.839013899116611,0.6598312654763699,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r3-A-1000us-control-20260908T225314.291570Z/independent-analysis.json
5811.0,2026-09-08T22:45:32.349619+00:00,D,25,3,False,False,,53.73695558359331,6.167778524319649,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r3-D-25us-20260908T225328.645407Z/independent-analysis.json
