run_json,block_started_at,dataset_class,observable_ports,unobservable_ports,frequency_mhz,configuration,dwell_us,round,control,method,origin_shift_us,maximum_phase_deg,maximum_gain_db,phase_closure_pass_diagnostic_only,base_window_phase_closure_pass,base_observation_ms,base_weighted_phase_rms_deg,report_status
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-100us-20260908T230232.453860Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,100,2,False,whole-record reference-labeled,116.5,10.369033638669363,4.291506492164612,False,False,0.8973931388132184,17.35021774221814,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-100us-20260908T230232.453860Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,100,2,False,past-only frozen,116.5,24.35710314057576,8.86984641431853,False,False,0.8974330043471587,71.97121457513069,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-100us-20260908T230232.453860Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,100,2,False,past-only rolling 50 ms,116.5,1.2002010647711117,0.5740114917996573,True,True,50,0.9470240089738516,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-1000us-20260908T230247.590759Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,1000,2,False,whole-record reference-labeled,1020.0,2.2619196007973237,0.5746878593827921,True,True,6.28104319794665,2.380685029795531,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-1000us-20260908T230247.590759Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,1000,2,False,past-only frozen,1020.0,2.195962640729159,1.0881302778582558,False,False,6.281405836517793,2.583876022971887,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-1000us-20260908T230247.590759Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,1000,2,False,past-only rolling 50 ms,1020.0,1.058851185269706,0.2806188801162742,True,True,50,0.7603402017884877,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-200us-20260908T230302.629462Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,2,False,whole-record reference-labeled,217.49999999999997,1.9472149003099575,0.8033882404134987,True,True,1.4952503452362251,5.270528177568378,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-200us-20260908T230302.629462Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,2,False,past-only frozen,217.49999999999997,42.37533585037094,14.230592292386541,False,False,1.4953597984407339,72.1104496326319,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-200us-20260908T230302.629462Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,2,False,past-only rolling 50 ms,217.49999999999997,1.0722249688843335,0.27189942389441957,True,True,50,0.8449407144559133,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r3-A-1000us-20260908T230317.695365Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,1000,3,False,whole-record reference-labeled,0.5,0.9709474883285141,0.18053398015235864,True,True,6.281248980546853,2.0931646776604,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r3-A-1000us-20260908T230317.695365Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,1000,3,False,past-only frozen,0.5,4.72332511398843,1.3395847519577275,False,False,6.281093638046332,2.3672920819034022,analyzed
