run_json,frequency_mhz,port,gain_db,amplitude,phase_rms_10ms_deg,coherence
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-D-ANT2-20260908T224723.037889Z/run.json,5811.0,ANT2,60,0.0054576520908372304,2.5586778581429943,0.08598291858148122
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-D-ANT4-20260908T224745.396184Z/run.json,5811.0,ANT4,60,0.002479623330549103,5.603237171963006,0.041253689877939224
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-D-ANT5-20260908T224837.060775Z/run.json,5811.0,ANT5,60,0.0020594104164547325,7.005077035060507,0.03253354947390584
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-D-ANT7-20260908T224823.244781Z/run.json,5811.0,ANT7,60,0.00350519958026477,4.2150037847269965,0.05534519193554473
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-D-ANT8-20260908T224807.219129Z/run.json,5811.0,ANT8,60,0.002862471524100933,4.834603144259226,0.044948613485404375
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-after-A-ANT1-20260908T230604.457816Z/run.json,2475.0,ANT1,40,0.02829562235595314,0.6287837725375898,0.5369081996479368
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-after-A-ANT2-20260908T230551.427512Z/run.json,2475.0,ANT2,40,0.012147026749471131,0.7374981428499201,0.42620222287541276
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-after-A-ANT4-20260908T230538.236403Z/run.json,2475.0,ANT4,40,0.009665360644138735,0.8081483385958222,0.3406617408179066
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-after-A-ANT5-20260908T230500.656419Z/run.json,2475.0,ANT5,40,0.0026944173852926183,3.1865296819336164,0.10282815036812627
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-after-A-ANT7-20260908T230512.820177Z/run.json,2475.0,ANT7,40,0.007664948305402218,1.1416653077289358,0.28587676306109283
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-after-A-ANT8-20260908T230525.333553Z/run.json,2475.0,ANT8,40,0.02088536414615179,0.7890606667273073,0.4703058623081726
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-before-A-ANT1-20260908T225856.109240Z/run.json,2475.0,ANT1,40,0.028360215957367232,0.5353412158746585,0.5214480014377901
