frequency_hz,tx_port,status,phase_10deg_wall_latency_ms,full_bearing_deg,full_bearing_valid,full_bearing_residual_phase_rms_deg,nominal_51mm_bearing_deg,nominal_51mm_valid,error,run_json,run_sha256
5752000000.0,TX2,analyzed,191.232,285.75,False,46.088218189169446,286.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5752000000-tx2-20260911T222945.291313Z/run.json,2ba7f9701638ffd62f633f921586cbfd1dccaea60f42cb630aebf1996915f48d
5753000000.0,TX1,analyzed,95.616,265.25,False,42.56809601662839,265.25,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5753000000-tx1-20260911T222955.111772Z/run.json,4d38c0f9615ae5a090b2f200337f495ab72363ccadf3c33b736f8d878b38cc6d
5753000000.0,TX2,analyzed,95.616,96.75,False,51.7785718896567,97.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5753000000-tx2-20260911T223006.012696Z/run.json,b49071d5613e369d16c2030cb1d0a3e43230162375f6b651c910cb0c8c1a6691
5754000000.0,TX1,analyzed,95.616,154.75,False,38.06574523406125,154.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5754000000-tx1-20260911T223016.001499Z/run.json,e578776e6ea987fe816001eda2f546407ca6adf5ccaa26a165041a95cbed6a1c
5754000000.0,TX2,analyzed,47.808,160.75,True,21.42937870428234,161.0,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5754000000-tx2-20260911T223026.682503Z/run.json,dbc64ab11106abc00b43376a8d653a66fcb3d6c8e186ddf395d9fef893b56f47
5755000000.0,TX1,analyzed,95.616,329.5,False,45.19970140037393,329.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5755000000-tx1-20260911T223036.836946Z/run.json,15c6014c32fac7f213c74c194ea6fb26998d443b377c692f3c2f7277ead39cd5
5755000000.0,TX2,analyzed,47.808,161.0,True,21.948647817938728,161.25,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5755000000-tx2-20260911T223047.199798Z/run.json,80bb053faafe2b799cce54965f7866e0d9a0d48c3120a715a6c4f550e9cdff95
5756000000.0,TX1,analyzed,47.808,155.0,False,44.97837356994299,155.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5756000000-tx1-20260911T223057.568521Z/run.json,71a90eb04e0c7acbba7c904dd911555ce48f44ec318a4eec922e5745036f3490
5756000000.0,TX2,analyzed,47.808,161.25,True,23.303310711894934,161.5,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5756000000-tx2-20260911T223107.792922Z/run.json,b26969818b1c8536f59364f866da61f6ed50d1ec811ed0af7e490dddd16f2835
5757000000.0,TX1,analyzed,47.808,265.75,False,49.12551065775598,265.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5757000000-tx1-20260911T223118.282241Z/run.json,100d0aa870793a166dc0e9ca8cc88b184fb13955f7056b02d95e8d6c6ea61ef8
5757000000.0,TX2,analyzed,95.616,161.5,True,24.056573794074893,161.75,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5757000000-tx2-20260911T223128.489059Z/run.json,c84a6493c67e05d55f61ae5a6f9e92cfde0d46143b972c2dec4f8ea9b8383af6
5758000000.0,TX1,analyzed,47.808,264.5,False,50.72296209866898,264.5,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5758000000-tx1-20260911T223139.964844Z/run.json,0cdbd46439ad41e25bd8c7a8d33e4efe4feb423c1c4d5e948475c96a311b8a02
5758000000.0,TX2,analyzed,95.616,160.75,True,22.82487155373917,161.0,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5758000000-tx2-20260911T223150.547940Z/run.json,56060c8833eeaf59c194187a98ad0f3c60f787073405fe4f05e02eaf177f73da
5759000000.0,TX1,analyzed,47.808,264.25,False,55.91634207168941,264.5,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5759000000-tx1-20260911T223200.680929Z/run.json,7ba987508840d25e9076ba101d9431edc233cba634de11bb4812c534acda255e
5759000000.0,TX2,analyzed,191.232,96.25,False,49.20776088610883,97.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5759000000-tx2-20260911T223212.941431Z/run.json,e29ad1df8c1eb482d9298e3c61125c496fac9e67bbb9d34d42e3612a970bce12
5760000000.0,TX1,analyzed,191.232,155.25,False,62.88984906016426,154.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5760000000-tx1-20260911T223223.524415Z/run.json,b4f8ac1868f5fb2ae1d5f20ca5e6a06f282f693a38e4f18e337db16a9fa2ff4a
5760000000.0,TX2,analyzed,191.232,61.25,False,66.89501663926607,62.25,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5760000000-tx2-20260911T223233.658718Z/run.json,c70b508ba50d0c7b8508472559a6159d82bd003442bf4d0c610c02437ac8afd4
5761000000.0,TX1,analyzed,95.616,264.5,False,57.72230457528513,264.5,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5761000000-tx1-20260911T223245.489320Z/run.json,d4a219d3b0aa28e2c1271c329c0e4b9f78dadd53839c3b6c544aa65d6496dd61
5761000000.0,TX2,analyzed,191.232,347.0,False,56.618055294079014,280.25,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5761000000-tx2-20260911T223256.469397Z/run.json,62caec674057fc5579c62e5fbd2a91f2158db4e3fc7e6e051d2940a11da77e29
5762000000.0,TX1,analyzed,47.808,84.25,False,58.47278154862625,84.5,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5762000000-tx1-20260911T223306.828005Z/run.json,4810130183dc2bb63faf00a2712564d4cc808ab33df168b93ef338aae58ee38e
5762000000.0,TX2,analyzed,95.616,161.25,True,29.978455543546822,161.5,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5762000000-tx2-20260911T223319.353379Z/run.json,c6bebb0e27ce7130c7cf2b2999b62b7112bed396e3b475246fd19f4d72011d08
5763000000.0,TX1,analyzed,191.232,264.5,False,58.34168241360266,264.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5763000000-tx1-20260911T223341.091234Z/run.json,30014103635ee1cc2b3497e540765b75085a611da77beae73962daee15aa34bb
5763000000.0,TX2,analyzed,95.616,160.25,True,23.848834593195065,160.5,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5763000000-tx2-20260911T223354.111215Z/run.json,421b09bc6fab8acef2d6cf5a5431a97fcc2168dd47a63d61e93d40e3682c6b84
