configuration,dwell_us,round,integration_ms,cycles,groups,active_per_port_ms,weighted_phase_rms_deg,passed,run_json
A,25,2,2.241938576314678,5,1784,0.0725,76.55653265807376,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
A,25,2,5.380652583155227,12,743,0.174,65.11098312533878,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
A,25,2,10.312917451047518,23,387,0.33349999999999996,57.02869312637192,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
A,25,2,20.1774471868321,45,198,0.6525,46.38794064245647,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
A,25,2,50.21942410944879,112,79,1.624,35.23125303626613,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
A,25,2,100.43884821889758,224,39,3.248,29.08898137546038,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
A,25,2,200.4293087225322,447,19,6.4815000000000005,26.511971296389138,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
A,25,2,400.4102297298015,893,9,12.9485,24.828582201852203,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
B,50,2,0.5979201866880008,1,6689,0.0396,88.83025257056548,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,1.1958403733760017,2,3344,0.0792,65.66997282195875,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,2.3916807467520034,4,1672,0.1584,57.294443971187974,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,5.381281680192007,9,743,0.3564,38.79147134877701,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,10.164643173696014,17,393,0.6732,25.830680150388105,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,20.329286347392028,34,196,1.3464,17.656484882125714,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,50.22529568179207,84,79,3.3264,10.860559388338547,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,100.45059136358414,168,39,6.6528,8.45446744110119,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,200.3032625404803,335,19,13.266,6.489064415626269,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
B,50,2,400.00860489427254,669,9,26.4924,5.462861596069808,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-B-50us-20260908T072042.845121Z/run.json
D,50,2,0.5979116122325245,1,6689,0.0396,84.90615279275761,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-50us-20260908T072056.143442Z/run.json
D,50,2,1.195823224465049,2,3344,0.0792,66.94647683645968,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-50us-20260908T072056.143442Z/run.json
D,50,2,2.391646448930098,4,1672,0.1584,56.363160247192496,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-50us-20260908T072056.143442Z/run.json
